wallet,diff,before,after
0x63F7a2235dda9531A4168C01EDe8247b1F93bd4D,	8888,	674,	9562
0x651D40ec04DC828CC67ce9CC11BeF08a7a6D4ae3,	8888,	677,	9565
0x65e456637b21c4eA9765042152E2c21908Cc7352,	8888,	55,	8943
0x66678579D1E72a776D8f222123E757521f6765CC,	8888,	33,	8921
0x6b2318ABb1e7B316A1F32786cFf593C97199EC88,	8888,	707,	9595
0x6D8BaC2d582ee798a40e5C8470fF04892AcDe515,	8888,	51,	8939
0x6e8F6Ca2bE0689368933f6f744EaD3EeC25781A3,	8888,	50,	8938
0x6F0F0480F941c5E564D3De893BBB29Cb107EB330,	8888,	0,	8888
0x6FB1d3cBC6EA7BCf4E181778093c39881cd8DB1e,	8888,	713,	9601
0x736705bD2b2256767A48c0B6a4F54B45DBC6767B,	8888,	680,	9568
0x74a0fB799A683EE37b2Fa8D69E135bE00F91157B,	8888,	675,	9563
0x778A17a8eac717958eF77F1eeaB591b6975DEe78,	8888,	680,	9568
0x787826E7949A4F0FcfcD53fD2617F55b5cAF23D8,	8888,	396,	9284
0x79Bdda65C706CBdA69C0AD4C8da1d3e91724f48D,	8888,	0,	8888
0x7aBB334fd82456f77216dA59271e6c462Cb7c5E4,	8888,	0,	8888
0x7b082c0140b0b28bB0d88D6c5f8C4344288061F5,	8888,	872,	9760
0x7B12FC790F973398963DCC3E40c17d4AfaC31184,	8888,	0,	8888
0x7B4D11a3E5eaD71AD66fD70eff0Be1a5DD09336B,	8888,	0,	8888
0x7c5Aa3a1A63De02a4573428361d3eE64e8C5292f,	8888,	675,	9563
0x7fCFaf2866B926035Dc28804Cda778B548FdaC0e,	8888,	2,	8890
0x83bbe9CFCc205bb8E53cBa0b51d6db9386CE58B5,	8888,	0,	8888
0x84bEbB16df8f80E71baa6d5Dd850dEfD344CDfB2,	8888,	52,	8940
0x8560FFc43B0753704F30e6f658AE2eeC93d2c719,	8888,	704,	9592
0x859950619dBb8522E53D67ba16A56cC0eACa60dC,	8888,	888,	9776
0x88Fba6a80350aBB0193d2fEc2E09CA23d3540068,	8888,	88,	8976
0x8a8c39A347263617b6E00F136B1780C074D3EBb6,	8888,	22,	8910
0x8ae06d2a588F6A507E0997dcfaeBe5ccf6976bCC,	8888,	2,	8890
0x96C0F45bac066564a49608cF52415dBDA72a96DE,	8888,	704,	9592
0x96Dc4E0010a8b51bc3Ee23126d552d3dAb5fc8b8,	8888,	22,	8910
0xa082c025aB985Dd22626bD0D2d1dE3Ed391848aF,	8888,	521,	9409
0xA200369d36d9a1040bDddDf7F83995220E87211C,	8888,	22,	8910
0xa72a1f132327d41cd23606b672A1612E9dB4943f,	8888,	673,	9561
0xA88b8313479659eCefce1aDbF689cbe2aAb2b424,	8888,	23,	8911
0xA9ec57d4372DF73A465Ee48ee965Fe4fFfd2cda3,	8888,	737,	9625
0xAb9C61BC97c063678691E1844f740EfeCaC704a3,	8888,	678,	9566
0xaD9db77B2321259f6d458094a88a084E5635138b,	8888,	90,	8978
0xb3F86A03945BB0d37db9AfA81C502A05d4421532,	8888,	682,	9570
0xB746aFfaeb9f1C00DA4bF356c9B243797Fb1e5F4,	8888,	679,	9567
0xBb5C326ed475165E83e82da07c4d84fA3C760B1F,	8888,	0,	8888
0xC102c16560DbC0192e51A221741E06815220f200,	8888,	715,	9603
0xc2d368bF8F9C92CcACCEedd09387965C605a03A7,	8888,	681,	9569
0xC3295650893a8d44fa6fa8aC3dEa5aEd47a11A1e,	8888,	681,	9569
0xc34143d83f8FF94BdA297b7b1Ac448790E3b4b0d,	8888,	0,	8888
0xc6F38CA3B9F12a7C9B17c6d8E832779adC4F548D,	8888,	2,	8890
0xC83e5f93BE78fD3a4f421F689C3F5E5379EF6B73,	8888,	712,	9600
0xC98C8a768f376eF18C0F1bcAC42b1d2718093BC5,	8888,	304,	9192
0xc9c74e538c65877Eadb1A7D02B776Dd6F95Dc165,	8888,	212,	9100
0xCC6c205523E38E65Ad99629F149eA862953987ce,	8888,	263,	9151
0xcd1226821DBAD834f1e6a767D311314d31Ec1b44,	8888,	683,	9571
0xCf1e9264f4f031d4b0252dEB6A0d47ED95B8783C,	8888,	0,	8888
0xd002E731B302286009AbAAFD5E05A9853f5f3002,	8888,	0,	8888
0xD04B52a745aACeA09b0F009D9e55d085880b6382,	8888,	704,	9592
0xd3740f946F67E89F0F555858AeA6D474EeC193De,	8888,	0,	8888
0xd656b8e7c16d1ee17b5F2EC1C5497E84De6C3940,	8888,	709,	9597
0xD7Fec81672E62994Db192DA9Bad33597bB0230F5,	8888,	670,	9558
0xDaFc54902785780222BbF5dE363DfF55022A53E5,	8888,	204,	9092
0xDC28883E72A85d874377FB42361aaC89D8fe0788,	8888,	673,	9561
0xDD6B464d0D0F31cB31f5652E52F31C4fb2c859be,	8888,	46,	8934
0xDF58C1bF205B2Ea09cd03ae782A7DAc50edb98B1,	8888,	681,	9569
0xE074036aeDDAdB62bB4dBf9D930FC16767204de1,	8888,	680,	9568
0xe3C1B2a3C9Bbc7271D5C0C3B2CF713a7bF54C81C,	8888,	679,	9567
0xE408D65d495c567aB246E7c90F11d15d96c1738D,	8888,	22,	8910
0xE551D81D3594fDbE1d53217Ff8479eC2852F57e4,	8888,	536,	9424
0xE715A356136dBC8f8deEa8CA392D6643a06148f0,	8888,	0,	8888
0xE98f85b858c30a32F40b1f8FE33453E33144BCFB,	8888,	24,	8912
0xEA14C00aeDC540c6dd83720389C8E5d87b12A81F,	8888,	0,	8888
0xEad554461AA99288782Cd63F46B5085D0dC39ceE,	8888,	147,	9035
0xECe4F3C2807F6BcC9aA37BB7d48905A5dEeBB124,	8888,	42,	8930
0xeE383101Cf5FC01801FCd438EE3649909B4129Fb,	8888,	0,	8888
0xefa6DE1319Adcb509392e664ec0A126aC067F42d,	8888,	54,	8942
0xf1054A9dC05B19fDe3287f4053aE2d16A12D8590,	8888,	60,	8948
0xf132165A1876AfB8658488C5AdDb5B55F5D0686a,	8888,	717,	9605
0xF262D296771DE225244211Aa16De2edC09eA8Ae6,	8888,	716,	9604
0xF2FBa6a43D5fb05640f694ec77De7A1cED0F3e51,	8888,	683,	9571
0xF4Cc8A6a89cEFdbdb515EaB3AC7d76C7F32BD61B,	8888,	0,	8888
0xf705Cb1501D04462aB7FF142F1F0ad198175725e,	8888,	415,	9303
0xFa565E9123Daf2Dce1A1698cC77CE829480e7BB2,	8888,	682,	9570
0xFF83C3F352946E084E0e4F3c5e8d5D858f5A7944,	8888,	61,	8949
